Sample File,D:\Диск rkovach\YandexDisk\ИКМО\Приборы работа\OPS\20+5 мин.55.O30
Instrument Model,3330
Instrument Serial Number,3330200403
Sample Length (s),1200
Alarm Set,No
Dead Time Correction Applied,Yes
Units,dW/dlogDp
Weight,Mass
Refractive Index Applied,No

,,,,,,,,,,,,,,,,LB,0.3,0.44,0.56,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.533,2.95,3.463,5.61,8.032,
,,,,,,,,,,,,,,,,UB,0.44,0.56,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.533,2.95,3.463,5.61,8.032,10,
,,,,,,,,,,,,,,,,LB with RI,0.3,0.44,0.56,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.533,2.95,3.463,5.61,8.032,
,,,,,,,,,,,,,,,,UB with RI,0.44,0.56,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.533,2.95,3.463,5.61,8.032,10,
Sample #,Date,Start Time,Temp(C),Pressure(atm),Rel. Humidity,Errors,Alarm Triggered,Dilution Factor,Dead Time,Median,Mean,Geo. Mean,Mode,Geo. St. Dev.,Total Conc. (µg/m),Vol.Wt.Mean Diam.,0.374,0.502,0.687,0.904,1.103,1.303,1.502,1.702,1.902,2.102,2.370,2.747,3.213,4.620,6.892,9.052,,Vol.Wt.Mean Diam.,0.374,0.502,0.687,0.904,1.103,1.303,1.502,1.702,1.902,2.102,2.370,2.747,3.213,4.620,6.892,9.052,,
3541,09/27/2021,23:40:37,31.319,0.990,0.000,No Errors,NA,1.000,2.65276,3.56387,4.09312,2.98142,0.374363,2.60106,5.17443,,3.39302,1.08822,0.641886,0.71492,0.511396,0.821108,1.16874,2.01796,2.75287,3.15953,3.37397,3.90231,5.08849,7.61789,7.16404,2.86229,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3542,09/28/2021,00:00:36,31.319,0.990,0.000,No Errors,NA,1.000,2.62484,3.56596,4.08231,2.92869,0.374363,2.65884,4.82715,,3.37967,1.05827,0.614468,0.705313,0.520278,0.797704,1.10276,1.99263,2.69364,2.88881,2.93431,3.54896,4.32574,6.8152,6.99855,2.65778,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3543,09/28/2021,00:20:37,31.349,0.990,0.000,No Errors,NA,1.000,2.93402,3.62353,4.20119,3.02359,0.374363,2.64902,5.6389,,3.76652,1.18933,0.705977,0.803425,0.605814,0.878481,1.19509,2.28655,2.99415,2.92487,3.92295,4.14152,4.87709,7.79257,8.04766,4.29444,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3544,09/28/2021,00:40:37,31.319,0.990,0.000,No Errors,NA,1.000,2.97711,3.66052,4.2985,3.10348,0.374363,2.64091,5.89082,,3.81093,1.21266,0.714847,0.791662,0.569361,0.962551,1.20741,2.07921,2.94692,3.06622,3.76319,4.43751,5.71516,7.91635,8.26844,5.52162,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3545,09/28/2021,01:00:37,31.319,0.990,0.000,No Errors,NA,1.000,2.79701,3.56761,4.08691,2.98008,0.374363,2.59816,5.43114,,3.56875,1.15072,0.67772,0.754374,0.539032,0.828137,1.1336,1.96003,2.9307,2.93042,3.67127,4.33003,4.98907,8.43378,6.94444,3.27158,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3546,09/28/2021,01:20:37,31.319,0.990,0.000,No Errors,NA,1.000,2.69815,3.64758,4.22432,3.11647,0.374363,2.55929,5.66287,,3.43906,1.09732,0.64905,0.72274,0.531872,0.85059,1.09669,2.08884,2.87129,3.34205,3.86508,4.23108,5.32623,8.45778,7.93585,3.88468,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3547,09/28/2021,01:40:37,31.319,0.990,0.000,No Errors,NA,1.000,2.57933,3.72194,4.35928,3.23502,0.374363,2.54233,5.68918,,3.29036,1.05207,0.615817,0.676316,0.49758,0.768226,1.0337,1.85853,2.88678,3.35936,3.37376,4.38674,5.01316,8.75324,7.49423,5.31535,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3548,09/28/2021,02:00:37,31.319,0.990,0.000,No Errors,NA,1.000,2.4959,3.77492,4.42883,3.30448,0.374363,2.52702,5.69881,,3.18809,1.01716,0.601442,0.680664,0.469534,0.759512,0.998357,1.9823,2.66181,3.14146,3.25936,4.20572,4.91281,8.77732,7.82431,5.5194,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3549,09/28/2021,02:20:37,31.319,0.990,0.000,No Errors,NA,1.000,2.27569,3.7293,4.30729,3.19097,0.374363,2.55309,4.91822,,2.89493,0.941201,0.562078,0.615621,0.442774,0.721274,0.947575,1.8075,2.42476,2.7468,3.21311,3.70397,4.51195,6.77618,8.2636,2.86139,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3550,09/28/2021,02:40:38,31.349,0.990,0.000,No Errors,NA,1.000,2.03687,3.69614,4.28675,3.19123,0.374363,2.53185,4.46386,,2.59659,0.839829,0.504825,0.572561,0.401351,0.630232,0.775691,1.41791,2.1444,2.29933,2.72175,3.78534,3.94873,6.97228,6.16892,3.2695,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3551,09/28/2021,03:00:38,31.380,0.990,0.000,No Errors,NA,1.000,1.77378,3.68681,4.22441,3.10886,0.374363,2.58126,3.62799,,2.25932,0.73188,0.462238,0.513734,0.357271,0.559121,0.666703,1.21797,1.50942,1.74617,2.12216,2.66804,3.37318,5.53958,5.45169,2.04299,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3552,09/28/2021,03:20:37,31.380,0.991,0.000,No Errors,NA,1.000,1.4655,3.67466,4.23676,3.05326,0.374363,2.65815,2.78238,,1.87892,0.597171,0.377958,0.399823,0.266995,0.374671,0.520967,0.939771,1.28051,1.29312,1.59691,1.95332,2.37311,4.21837,3.74363,2.24671,,Density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
