timestamp,datetime,Total Conc. (µg/m³),Pressure(atm),ErrorCode
1747947602,2025-05-23 00:00:02,6.00037,0.979582,0
1747948802,2025-05-23 00:20:02,6.56424,0.979582,0
1747950002,2025-05-23 00:40:02,7.79831,0.978654,0
1747951203,2025-05-23 01:00:03,6.11748,0.979887,0
1747952403,2025-05-23 01:20:03,7.45107,0.979582,0
1747953603,2025-05-23 01:40:03,5.00368,0.979887,0
1747954803,2025-05-23 02:00:03,5.13432,0.979582,0
1747956003,2025-05-23 02:20:03,4.8225,0.979887,0
1747957203,2025-05-23 02:40:03,3.49193,0.979887,0
1747958403,2025-05-23 03:00:03,3.79584,0.979887,0
1747959603,2025-05-23 03:20:03,4.0672,0.97896,0
1747960803,2025-05-23 03:40:03,3.6984,0.980193,0
1747962003,2025-05-23 04:00:03,3.57725,0.980193,0
1747963204,2025-05-23 04:20:04,5.37538,0.979276,0
1747964404,2025-05-23 04:40:04,6.06451,0.980193,0
1747965604,2025-05-23 05:00:04,4.10432,0.980193,0
1747966804,2025-05-23 05:20:04,3.46666,0.979276,0
1747968004,2025-05-23 05:40:04,3.41767,0.980193,0
1747969204,2025-05-23 06:00:04,3.69754,0.980193,0
1747970404,2025-05-23 06:20:04,3.45713,0.979582,0
1747971604,2025-05-23 06:40:04,3.60758,0.980193,0
1747972804,2025-05-23 07:00:04,4.42293,0.980499,0
1747974004,2025-05-23 07:20:04,3.34022,0.979582,0
1747975204,2025-05-23 07:40:04,3.00235,0.979276,0
1747976404,2025-05-23 08:00:04,2.66853,0.979276,0
1747977604,2025-05-23 08:20:04,2.99917,0.980499,0
1747978804,2025-05-23 08:40:04,3.43838,0.979276,0
1747980004,2025-05-23 09:00:04,3.6069,0.980499,0
1747981205,2025-05-23 09:20:05,4.406,0.980499,0
1747982405,2025-05-23 09:40:05,2.6398,0.980815,0
1747983605,2025-05-23 10:00:05,3.51234,0.980499,0
1747984805,2025-05-23 10:20:05,3.47462,0.980815,0
1747986005,2025-05-23 10:40:05,3.22428,0.979887,0
1747987205,2025-05-23 11:00:05,3.72809,0.980815,0
1747988405,2025-05-23 11:20:05,2.72034,0.980815,0
1747989605,2025-05-23 11:40:05,3.88373,0.980815,0
1747990805,2025-05-23 12:00:05,4.19967,0.981121,0
1747992005,2025-05-23 12:20:05,2.80181,0.980815,0
1747993205,2025-05-23 12:40:05,2.5674,0.980815,0
1747994406,2025-05-23 13:00:06,4.6274,0.979887,0
1747995606,2025-05-23 13:20:06,3.49721,0.980815,0
1747996806,2025-05-23 13:40:06,2.88311,0.980815,0
1747998006,2025-05-23 14:00:06,2.92828,0.980815,0
1747999206,2025-05-23 14:20:06,3.48532,0.980815,0
1748000406,2025-05-23 14:40:06,3.54084,0.980499,0
1748001606,2025-05-23 15:00:06,4.34032,0.980815,0
1748002806,2025-05-23 15:20:06,3.1592,0.980815,0
1748004006,2025-05-23 15:40:06,4.45109,0.980815,0
1748005206,2025-05-23 16:00:06,5.01491,0.980815,0
1748006407,2025-05-23 16:20:07,4.99704,0.980499,0
1748007607,2025-05-23 16:40:07,6.80403,0.980815,0
1748008807,2025-05-23 17:00:07,3.89352,0.980499,0
1748010007,2025-05-23 17:20:07,3.24519,0.980499,0
1748011207,2025-05-23 17:40:07,3.4602,0.979582,0
1748012407,2025-05-23 18:00:07,3.63828,0.979582,0
1748013607,2025-05-23 18:20:07,3.9523,0.980193,0
1748014807,2025-05-23 18:40:07,5.02157,0.979887,0
1748016007,2025-05-23 19:00:07,4.20445,0.979582,0
1748017207,2025-05-23 19:20:07,3.81799,0.979582,0
1748018407,2025-05-23 19:40:07,4.28709,0.980815,0
1748019607,2025-05-23 20:00:07,5.76189,0.980815,0
1748020807,2025-05-23 20:20:07,4.52682,0.981121,0
1748022008,2025-05-23 20:40:08,4.41386,0.981427,0
1748023207,2025-05-23 21:00:07,5.96445,0.980499,0
1748024407,2025-05-23 21:20:07,5.63329,0.981427,0
1748025607,2025-05-23 21:40:07,6.57849,0.981733,0
1748026807,2025-05-23 22:00:07,8.85574,0.980815,0
1748028007,2025-05-23 22:20:07,4.53947,0.981121,0
1748029207,2025-05-23 22:40:07,3.49882,0.982039,0
1748030407,2025-05-23 23:00:07,3.42479,0.981427,0
1748031607,2025-05-23 23:20:07,3.78362,0.982661,0
1748032808,2025-05-23 23:40:08,3.66998,0.982661,0
1748034007,2025-05-24 00:00:07,3.80612,0.982661,0
1748035207,2025-05-24 00:20:07,5.13943,0.982967,0
1748036407,2025-05-24 00:40:07,7.1442,0.982967,0
1748037607,2025-05-24 01:00:07,5.2737,0.982967,0
1748038807,2025-05-24 01:20:07,4.94497,0.982967,0
1748040007,2025-05-24 01:40:07,5.27572,0.982967,0
1748041207,2025-05-24 02:00:07,5.42632,0.982355,0
1748042407,2025-05-24 02:20:07,4.35644,0.982967,0
1748043607,2025-05-24 02:40:07,3.39397,0.982967,0
1748044807,2025-05-24 03:00:07,4.01195,0.982039,0
1748046007,2025-05-24 03:20:07,3.69768,0.983272,0
1748047207,2025-05-24 03:40:07,3.36595,0.982967,0
1748048407,2025-05-24 04:00:07,3.36845,0.982355,0
1748049607,2025-05-24 04:20:07,3.34143,0.983272,0
1748050807,2025-05-24 04:40:07,3.54897,0.983272,0
1748052007,2025-05-24 05:00:07,3.77335,0.982355,0
1748053207,2025-05-24 05:20:07,3.38918,0.982039,0
1748054407,2025-05-24 05:40:07,3.8265,0.983272,0
1748055607,2025-05-24 06:00:07,3.58185,0.982661,0
1748056807,2025-05-24 06:20:07,2.58224,0.982355,0
1748058007,2025-05-24 06:40:07,2.29951,0.983272,0
1748059207,2025-05-24 07:00:07,2.25596,0.982967,0
1748060408,2025-05-24 07:20:08,2.55613,0.983272,0
1748061607,2025-05-24 07:40:07,2.52908,0.983578,0
1748062807,2025-05-24 08:00:07,2.8579,0.983272,0
1748064007,2025-05-24 08:20:07,2.65898,0.982355,0
1748065207,2025-05-24 08:40:07,2.85354,0.983272,0
1748066407,2025-05-24 09:00:07,3.15647,0.983272,0
1748067607,2025-05-24 09:20:07,5.70631,0.982355,0
1748068807,2025-05-24 09:40:07,4.90686,0.983578,0
1748070007,2025-05-24 10:00:07,2.91,0.983578,0
1748071207,2025-05-24 10:20:07,3.24164,0.982661,0
1748072407,2025-05-24 10:40:07,3.27835,0.983578,0
1748073607,2025-05-24 11:00:07,4.02358,0.983578,0
1748074807,2025-05-24 11:20:07,3.15481,0.983578,0
1748076007,2025-05-24 11:40:07,5.1097,0.983272,0
1748077207,2025-05-24 12:00:07,2.86858,0.983578,0
1748078407,2025-05-24 12:20:07,3.97981,0.983272,0
1748079607,2025-05-24 12:40:07,5.28992,0.983272,0
1748080807,2025-05-24 13:00:07,3.96119,0.983272,0
1748082007,2025-05-24 13:20:07,7.66482,0.982355,0
1748083207,2025-05-24 13:40:07,4.31336,0.982967,0
1748084407,2025-05-24 14:00:07,3.50391,0.983272,0
1748085608,2025-05-24 14:20:08,4.30018,0.982039,0
1748086807,2025-05-24 14:40:07,3.71096,0.982967,0
1748088007,2025-05-24 15:00:07,3.19649,0.982661,0
1748089207,2025-05-24 15:20:07,4.86984,0.981733,0
1748090407,2025-05-24 15:40:07,4.24542,0.981427,0
1748091608,2025-05-24 16:00:08,4.07055,0.982661,0
1748092807,2025-05-24 16:20:07,5.15299,0.981427,0
1748094007,2025-05-24 16:40:07,4.08329,0.982355,0
1748095207,2025-05-24 17:00:07,2.83948,0.982039,0
1748096407,2025-05-24 17:20:07,2.31317,0.981121,0
1748097607,2025-05-24 17:40:07,2.27235,0.981121,0
1748098807,2025-05-24 18:00:07,2.21336,0.982039,0
1748100007,2025-05-24 18:20:07,2.48222,0.981427,0
1748101207,2025-05-24 18:40:07,2.7758,0.982039,0
1748102407,2025-05-24 19:00:07,2.63855,0.982039,0
1748103607,2025-05-24 19:20:07,3.34125,0.981427,0
1748104807,2025-05-24 19:40:07,4.41679,0.982039,0
1748106007,2025-05-24 20:00:07,4.17972,0.982355,0
1748107207,2025-05-24 20:20:07,5.18036,0.982355,0
1748108407,2025-05-24 20:40:07,7.96103,0.982661,0
1748109607,2025-05-24 21:00:07,8.51802,0.982661,0
1748110807,2025-05-24 21:20:07,13.6265,0.982661,0
1748112008,2025-05-24 21:40:08,8.50617,0.982967,0
1748113207,2025-05-24 22:00:07,4.99798,0.981733,0
1748114407,2025-05-24 22:20:07,5.06895,0.982967,0
1748115607,2025-05-24 22:40:07,5.58821,0.982967,0
1748116808,2025-05-24 23:00:08,7.26822,0.982967,0
1748118007,2025-05-24 23:20:07,7.08497,0.983272,0
1748119207,2025-05-24 23:40:07,6.05652,0.982355,0
